,ACRU,ACSA,ACSP,CACA,CACO,CASP,CEOR,COAL,COFO,COSP,CRSP,EUOB,FAGR,FRAM,ILSP,LIBE,LISP,LITU,LOMO,MASP,NYSY,OSVI,PAQU,PIST,PRSE,PRVI,QUAL,QURU,RHFR,ROMU,RUAL,RUSP,SAAL,SODU,ULRU,VIAC,VIDE,VIRI,VISP
IC+TSI_2025_North,65,8,0,0,3,0,0,0,0,0,0,0,0,31,0,0,0,20,0,1,0,0,1,0,16,0,1,19,2,0,0,0,3,0,0,0,0,2,0
IC+TSI_2019_South,2,5,0,0,1,0,0,0,0,0,0,0,0,148,0,1,0,4,0,0,0,0,0,0,7,0,0,0,14,0,0,0,1,1,0,0,0,2,1
IC+TSI_2020_South,5,6,1,0,1,0,0,0,0,0,0,0,0,149,0,0,0,7,0,0,0,0,0,1,8,0,0,0,17,0,0,0,1,2,0,0,0,3,0
IC+TSI_2021_South,4,1,1,0,1,0,0,0,0,0,0,0,0,144,1,0,0,25,0,0,0,0,0,1,8,0,0,0,14,0,0,0,1,4,0,0,0,6,0
IC+TSI_2022_South,4,1,0,0,1,0,0,0,0,0,0,0,0,148,1,0,0,17,0,0,0,0,1,2,10,0,0,0,11,0,0,0,1,3,0,0,0,9,0
IC+TSI_2023_South,8,1,1,0,1,0,0,0,0,0,1,0,0,142,1,0,0,18,0,0,0,0,1,0,9,0,0,0,8,0,0,0,1,3,0,0,0,3,0
IC+TSI_2024_South,19,1,0,0,0,0,0,0,0,0,0,0,0,142,1,0,0,16,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,3,0,0,1,2,0
IC+TSI_2025_South,17,0,0,0,1,0,0,0,0,0,0,0,0,140,0,0,0,12,0,0,0,0,0,0,10,0,0,1,4,0,0,0,1,3,2,0,1,2,0
IC_2019_Middle,3,31,2,1,2,0,0,0,0,0,0,0,0,28,0,0,0,2,1,0,0,0,0,0,7,0,2,4,11,1,2,0,0,0,0,1,0,0,1
IC_2020_Middle,5,32,1,1,2,0,0,0,0,0,0,0,0,28,0,0,0,2,1,0,0,0,0,0,6,0,2,6,11,1,2,0,0,0,1,1,0,0,0
IC_2021_Middle,7,20,0,2,3,0,0,0,0,0,0,0,0,27,0,0,0,2,1,0,0,0,0,0,4,0,2,8,9,1,4,0,0,0,1,0,0,1,0
IC_2022_Middle,7,19,0,2,3,0,0,0,0,0,0,0,0,25,0,0,0,3,1,0,0,0,0,2,6,0,1,7,10,1,2,0,0,0,1,0,0,5,0
IC_2023_Middle,11,18,0,2,3,0,0,0,0,0,0,0,0,24,0,0,0,5,1,0,0,0,0,0,6,0,1,7,10,1,2,0,1,0,1,0,0,5,0
IC_2024_Middle,16,14,0,2,2,0,0,0,0,0,0,0,0,23,0,0,0,5,1,0,0,0,0,0,6,0,1,6,9,2,9,0,0,0,1,0,0,2,0
IC_2025_Middle,15,14,0,1,2,0,0,0,0,0,0,0,0,23,0,0,0,7,1,1,0,0,0,0,6,0,1,13,9,2,8,0,0,1,0,0,0,0,0
IC_2019_North,2,1,0,0,2,0,0,0,3,0,0,1,0,85,0,0,0,0,1,0,1,0,0,0,2,0,0,1,5,1,0,0,0,0,1,0,4,0,0
