Species,Number,Plot,Number of trunks,DBH_1,DBH_2,DBH_3,DBH_4,DBH_5,Girdled?,Felled?,Not Cut?
TUPO,102,IC-19-M,2,38.2,33.1,,,,Yes,No,No
REMA,147,IC+TSI-19-M,2,38.3,40.1,,,,Yes,No,No
REMA,203,IC-18-N,1,38.4,0,0,0,0,Yes,No,No
REMA,113,IC+TSI-18-N,2,38.4,31.2,0,0,0,Yes,No,No
REMA,81,IC-19-M,2,38.6,,,,,Yes,No,No
REMA,100,IC+TSI-18-M,1,38.7,0,0,0,0,No,No,Yes
BIAS,44,IC-18-M,1,38.7,0,0,0,0,Yes,No,No
TUPO,20,IC-18-S,2,38.7,41,0,0,0,Yes,No,No
SUMA,143,IC+TSI-19-M,2,38.8,29.2,,,,Yes,No,No
SUMA,108,IC+TSI-18-N,1,39.1,0,0,0,0,Yes,No,No
BIAS,45,IC-18-M,1,39.2,0,0,0,0,Yes,No,No
TUPO,173,IC+TSI-18-N,1,39.3,0,0,0,0,No,No,Yes
PINE,216,IC-19-N,1,39.5,,,,,Yes,No,No
REMA,28,IC-18-S,1,39.5,0,0,0,0,Yes,No,No
REMA,186,IC-19-N,1,39.6,,,,,Yes,No,No
BIAS,6,IC+TSI-18-S,1,39.7,0,0,0,0,Yes,No,No
REMA,158,IC-19-N,3,39.8,8.1,,,,Yes,No,No
BASS,6,IC-19-S,1,39.8,,,,,Yes,No,No
REMA,228,IC+TSI-18-S,1,39.8,0,0,0,0,Yes,No,No
BASS,93,IC-19-M,1,40,,,,,No,Yes,No
REMA,146,IC-18-N,4,40,32.1,20.5,24.5,0,Yes,No,No
TUPO,71,IC-18-M,1,40.2,0,0,0,0,Yes,No,No
REMA,97,IC+TSI-18-M,1,40.2,0,0,0,0,Yes,No,No
BIAS,135,IC-18-N,1,40.5,0,0,0,0,Yes,No,No
BLCH,150,IC-18-N,1,40.6,0,0,0,0,No,Yes,No
BASS,122,IC-19-M,1,40.9,,,,,Yes,No,No
REMA,66,IC+TSI-18-M,1,41.1,0,0,0,0,Yes,No,No
TUPO,47,IC+TSI-19-S,1,41.2,,,,,Yes,No,No
REMA,64,IC+TSI-19-S,2,41.3,,,,,Yes,No,No
REMA,161,IC-19-N,1,41.7,,,,,Yes,No,No
TUPO,57,IC+TSI-19-S,1,41.8,,,,,Yes,No,No
REMA,54,IC+TSI-18-M,1,42,0,0,0,0,Yes,No,No
REMA,145,IC-18-N,1,42.2,0,0,0,0,Yes,No,No
SUMA,107,IC+TSI-18-N,1,42.2,0,0,0,0,Yes,No,No
TUPO,84,IC-19-M,1,42.3,,,,,Yes,No,No
REMA,86,IC-19-M,1,42.5,,,,,Yes,No,No
TUPO,260,IC+TSI-19-N,2,42.6,12.6,,,,Yes,Yes,No
TUPO,136,IC-18-N,1,43,0,0,0,0,Yes,No,No
REMA,70,IC+TSI-19-S,2,43.2,,,,,Yes,No,No
BASS,94,IC-19-M,1,43.3,,,,,No,Yes,No
BASS,97,IC-19-M,1,43.4,,,,,No,Yes,No
SUMA,207,IC-18-N,1,43.5,0,0,0,0,Yes,No,No
REMA,237,IC+TSI-19-N,3,43.5,32.6,33.3,,,Yes,No,No
TUPO,75,IC+TSI-19-S,1,43.5,,,,,Yes,No,No
REMA,83,IC-19-M,2,44.2,,,,,Yes,No,No
PINE,144,IC-18-N,1,44.5,0,0,0,0,Yes,No,No
REMA,37,IC-19-S,2,44.6,,,,,Yes,Yes,No
SPRU,139,IC-18-N,1,45.9,0,0,0,0,Yes,No,No
BLCH,119,IC+TSI-18-N,1,46.4,0,0,0,0,Yes,No,No
REMA,112,IC+TSI-18-N,1,46.4,0,0,0,0,Yes,No,No
REMA,31,IC-18-S,3,46.4,19,21,0,0,Yes,Yes,No
REMA,34,IC-18-S,1,46.5,0,0,0,0,Yes,No,No
REMA,261,IC+TSI-19-N,1,47.1,,,,,Yes,No,No
TUPO,52,IC+TSI-19-S,1,47.6,,,,,Yes,No,No
REMA,49,IC+TSI-19-S,2,47.9,,,,,Yes,No,No
SPRU,140,IC-18-N,1,48.2,0,0,0,0,Yes,No,No
REMA,65,IC+TSI-18-M,1,48.4,0,0,0,0,Yes,No,No
BASS,12,IC-18-S,1,48.7,0,0,0,0,Yes,No,No
TUPO,8,IC+TSI-18-S,1,49.1,0,0,0,0,No,No,Yes
REMA,132,IC+TSI-19-M,2,49.1,,,,,Yes,No,No
REMA,51,IC+TSI-19-S,2,49.3,,,,,Yes,No,No
TUPO,27,IC-18-S,1,49.8,0,0,0,0,Yes,No,No
REMA,62,IC+TSI-19-S,3,49.9,43.1,14.3,,,Yes,Yes,No
REMA,205,IC-18-N,1,50.2,0,0,0,0,Yes,No,No
SUMA,137,IC-18-N,1,50.2,0,0,0,0,Yes,No,No
REMA,32,IC-19-S,1,50.2,,,,,Yes,No,No
SUMA,82,IC-18-M,1,50.5,0,0,0,0,Yes,No,No
TUPO,15,IC-19-S,1,50.5,,,,,Yes,No,No
SUMA,101,IC-19-M,2,51.3,,,,,Yes,No,No
REMA,140,IC+TSI-19-M,1,51.3,,,,,Yes,No,No
REOA,109,IC+TSI-18-N,1,51.6,0,0,0,0,No,No,Yes
REMA,56,IC+TSI-19-S,3,53,,,,,Yes,No,No
TUPO,100,IC-19-M,1,53.4,,,,,Yes,No,No
REMA,155,IC+TSI-19-M,1,54,,,,,Yes,No,No
REMA,267,IC+TSI-19-N,2,54.8,,,,,Yes,No,No
REMA,3,IC+TSI-18-S,2,54.9,20.6,0,0,0,Yes,Yes,No
SUMA,206,IC-18-N,2,55.1,32.3,0,0,0,Yes,No,No
REMA,198,IC-18-N,1,55.5,0,0,0,0,Yes,No,No
TUPO,160,IC-19-N,1,55.7,,,,,Yes,No,No
TUPO,221,IC+TSI-18-S,1,56,0,0,0,0,Yes,No,No
REMA,90,IC+TSI-18-M,1,57.5,0,0,0,0,Yes,No,No
REMA,144,IC+TSI-19-M,2,58.5,51.1,,,,Yes,No,No
REMA,98,IC+TSI-18-M,1,58.6,0,0,0,0,Yes,No,No
TUPO,43,IC+TSI-19-S,2,58.9,10.5,,,,Yes,Yes,No
REOA,50,IC-18-M,1,59,0,0,0,0,No,No,Yes
REMA,146,IC+TSI-19-M,2,60,>60,,,,Yes,No,No
REMA,35,IC-19-S,6,60,>60,,,,Yes,No,No
SUMA,121,IC+TSI-18-N,1,60.1,0,0,0,0,Yes,No,No
SUMA,78,IC+TSI-19-S,3,61.7,,,,,Yes,No,No
REMA,157,IC-18-N,1,64.8,0,0,0,0,Yes,No,No
REMA,179,IC+TSI-18-N,1,65,0,0,0,0,Yes,No,No
REOA,51,IC-18-M,1,67,0,0,0,0,No,No,Yes
TUPO,120,IC+TSI-18-N,1,67.2,0,0,0,0,Yes,No,No
REMA,4,IC+TSI-18-S,1,68,0,0,0,0,Yes,No,No
REOA,11,IC-18-S,1,70.6,0,0,0,0,No,No,Yes
REMA,164,IC+TSI-18-N,1,73.5,0,0,0,0,Yes,No,No
REMA,29,IC-18-S,2,73.9,41,0,0,0,Yes,No,No
REMA,10,IC-18-S,1,74.8,0,0,0,0,Yes,No,No
REMA,55,IC+TSI-18-M,1,76.2,0,0,0,0,Yes,No,No
REOA,83,IC-18-M,1,78.7,0,0,0,0,No,No,Yes
REMA,202,IC-18-N,1,80.4,0,0,0,0,Yes,No,No
REMA,114,IC+TSI-18-N,1,81.6,0,0,0,0,No,No,Yes
REMA,117,IC+TSI-18-N,1,87.6,0,0,0,0,Yes,No,No
REMA,159,IC+TSI-18-N,1,111.4,0,0,0,0,Yes,No,No
REMA,258,IC+TSI-19-N,4,60,>60,,,,No,No,Yes
REMA,266,IC+TSI-19-N,5,60,>60,,,,No,No,Yes
TUPO,219,IC-19-N,1,,,,,,Yes,No,No
