Tree,Species,Direction,Cover.Class,Notes
332,Buckthorn,N,1,
332,Multiflora rose,N,0,
332,Honeysuckle,N,0,
332,Privot,N,0,
332,Spicebush,N,0,
332,Rubus,N,0,
332,Mapleleaf Viburnum,N,0,
332,Buckthorn,S,1,
332,Multiflora rose,S,0,
332,Honeysuckle,S,0,
332,Privot,S,0,
332,Spicebush,S,0,
332,Rubus,S,0,
332,Mapleleaf Viburnum,S,0,
92,Buckthorn,N,1,
92,Multiflora rose,N,4,
92,Honeysuckle,N,0,
92,Privot,N,0,
92,Spicebush,N,0,
92,Rubus,N,1,
92,Mapleleaf Viburnum,N,0,
92,Buckthorn,S,1,
92,Multiflora rose,S,2,
92,Honeysuckle,S,0,
92,Privot,S,0,
92,Spicebush,S,0,
92,Rubus,S,1,
92,Mapleleaf Viburnum,S,0,
